0.20485,0.49913,0.23033,1.234,-1.202,-1.197
0.20483,0.5625,0.23033,1.234,-1.202,-1.197
0.13336,0.5625,0.23031,1.234,-1.202,-1.197
0.1533,0.5202,0.23034,1.219,-1.1,-1.298
0.1091,0.41668,0.23032,1.259,-1.288,-1.123
0.18623,0.4167,0.2303,1.26,-1.288,-1.123
0.09512,0.38886,0.23033,1.383,-1.36,-1.233
0.12897,0.40989,0.2303,1.241,-1.25,-1.009
0.18,0.45203,0.2303,1.198,-1.309,-1.067
0.18288,0.51398,0.23035,1.372,-1.207,-1.249
0.16113,0.561,0.2303,1.233,-1.335,-0.865
0.16113,0.50788,0.2303,1.382,-1.003,-1.21
0.1662,0.47323,0.23033,1.059,-1.174,-0.938
0.17233,0.47324,0.23031,1.465,-0.95,-1.279
0.13663,0.59653,0.23033,1.188,-1.112,-1.046
0.18813,0.58433,0.23033,0.99,-1.378,-1.34
