# Detector Count (1)
DetectorCount
1

# Detector Parameters (5)
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer
0, 360, 0.180000, 0.180000, 1.525879e-05

# Page Parameters (23)
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
32, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.288889, 0.000000, 10.000000, 128.000000, 0.000000, 0.000000, 0, 88.180000
33, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.266667, 0.000000, 10.000000, 132.000000, 0.000000, 0.000000, 0, 88.180000
34, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.244444, 0.000000, 10.000000, 136.000000, 0.000000, 0.000000, 0, 88.180000
35, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.222222, 0.000000, 10.000000, 140.000000, 0.000000, 0.000000, 0, 88.180000
36, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.200000, 0.000000, 10.000000, 144.000000, 0.000000, 0.000000, 0, 88.180000
37, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.177778, 0.000000, 10.000000, 148.000000, 0.000000, 0.000000, 0, 88.180000
38, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.155555, 0.000000, 10.000000, 152.000000, 0.000000, 0.000000, 0, 88.180000
39, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.133333, 0.000000, 10.000000, 156.000000, 0.000000, 0.000000, 0, 88.180000
40, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.111111, 0.000000, 10.000000, 160.000000, 0.000000, 0.000000, 0, 88.180000
41, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.088889, 0.000000, 10.000000, 164.000000, 0.000000, 0.000000, 0, 88.180000
42, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.066667, 0.000000, 10.000000, 168.000000, 0.000000, 0.000000, 0, 88.180000
