# Version,,,,,,,,,,,,,,,,,,,,,,
MajorVersion, MinorVersion,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Count (1),,,,,,,,,,,,,,,,,,,,,,
DetectorCount,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Parameters (7),,,,,,,,,,,,,,,,,,,,,,
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer, DarkFieldPageCount, FlatFieldPageCount,,,,,,,,,,,,,,,,
0,360,0.18,0.18,4.00E-05,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Page Parameters (23),,,,,,,,,,,,,,,,,,,,,,
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
24,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.466667,0,10,96,0,0, EEulerSequence_Extrinsic_XYZ,88.18
25,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.444444,0,10,100,0,0, EEulerSequence_Extrinsic_XYZ,88.18
26,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.422222,0,10,104,0,0, EEulerSequence_Extrinsic_XYZ,88.18
27,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.4,0,10,108,0,0, EEulerSequence_Extrinsic_XYZ,88.18
28,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.377778,0,10,112,0,0, EEulerSequence_Extrinsic_XYZ,88.18
29,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.355556,0,10,116,0,0, EEulerSequence_Extrinsic_XYZ,88.18
30,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.333333,0,10,120,0,0, EEulerSequence_Extrinsic_XYZ,88.18
31,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.311111,0,10,124,0,0, EEulerSequence_Extrinsic_XYZ,88.18
32,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.288889,0,10,128,0,0, EEulerSequence_Extrinsic_XYZ,88.18
33,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.266667,0,10,132,0,0, EEulerSequence_Extrinsic_XYZ,88.18
34,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.244444,0,10,136,0,0, EEulerSequence_Extrinsic_XYZ,88.18
35,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.222222,0,10,140,0,0, EEulerSequence_Extrinsic_XYZ,88.18
36,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.2,0,10,144,0,0, EEulerSequence_Extrinsic_XYZ,88.18
37,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.177778,0,10,148,0,0, EEulerSequence_Extrinsic_XYZ,88.18
38,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.155555,0,10,152,0,0, EEulerSequence_Extrinsic_XYZ,88.18
39,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.133333,0,10,156,0,0, EEulerSequence_Extrinsic_XYZ,88.18
40,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.111111,0,10,160,0,0, EEulerSequence_Extrinsic_XYZ,88.18
41,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.088889,0,10,164,0,0, EEulerSequence_Extrinsic_XYZ,88.18
42,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.066667,0,10,168,0,0, EEulerSequence_Extrinsic_XYZ,88.18
43,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.044445,0,10,172,0,0, EEulerSequence_Extrinsic_XYZ,88.18
44,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.022222,0,10,176,0,0, EEulerSequence_Extrinsic_XYZ,88.18
45,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3,0,10,180,0,0, EEulerSequence_Extrinsic_XYZ,88.18
