# Detector Count (1)
DetectorCount
1

# Detector Parameters (5)
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer
0, 360, 0.180000, 0.180000, 1.525879e-05

# Page Parameters (23)
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
22, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.511111, 0.000000, 10.000000, 87.779999, 0.000000, 0.000000, 0, 88.180000
23, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.488889, 0.000000, 10.000000, 91.769997, 0.000000, 0.000000, 0, 88.180000
24, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.466667, 0.000000, 10.000000, 95.760002, 0.000000, 0.000000, 0, 88.180000
25, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.444444, 0.000000, 10.000000, 99.750000, 0.000000, 0.000000, 0, 88.180000
26, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.422222, 0.000000, 10.000000, 103.739998, 0.000000, 0.000000, 0, 88.180000
27, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.400000, 0.000000, 10.000000, 107.730003, 0.000000, 0.000000, 0, 88.180000
28, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.377778, 0.000000, 10.000000, 111.720001, 0.000000, 0.000000, 0, 88.180000
29, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.355556, 0.000000, 10.000000, 115.709999, 0.000000, 0.000000, 0, 88.180000
30, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.333333, 0.000000, 10.000000, 119.699997, 0.000000, 0.000000, 0, 88.180000
31, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.311111, 0.000000, 10.000000, 123.690002, 0.000000, 0.000000, 0, 88.180000
